epoch	loss	acc	val_loss	val_acc
0	4.399783276875168	0.35128200124882925	4.2051544627540105	0.23781525220176142
1	3.0602652381034408	0.46499375585388697	4.586231972046907	0.22808246597277823
2	3.0079643937375	0.49271191070871057	7.2837112563624204	0.17403923138510807
3	2.9706997732203564	0.5148493599750235	5.229119182205658	0.2243795036028823
4	2.959116595278224	0.5230740711832657	5.122286222189116	0.22425440352281825
5	2.9369237232014718	0.5369575398064315	5.095777729494845	0.2441453162530024
6	2.9245363231789048	0.5453968935373088	4.492766545427809	0.2745946757405925
7	2.910756371894405	0.552187402435217	4.901219874405689	0.25785628502802244
8	2.8996930811839143	0.5590169372463316	4.687461987125864	0.30084067253803043
9	2.8913199513024774	0.5652708398376523	4.709950939667903	0.321206965572458
10	1.7441012137966383	0.7967042616297222	2.853502985570219	0.4735538430744596
11	1.3697830866341885	0.8320519825163909	2.7764979049718503	0.48208566853482787
12	1.301878009862614	0.8437597564783016	2.7161437660050067	0.5098829063250601
13	1.2645922292406544	0.8530284108648143	2.8904588924015493	0.4858136509207366
14	1.230754274457386	0.862414142990946	2.8349083186245805	0.4881905524419536
15	1.1023609104507832	0.900005853886981	2.3132778479157685	0.5883957165732586
16	1.0295498775404912	0.9204261629722136	2.2814107382889266	0.5935998799039232
17	1.0026689159881312	0.9262605369965657	2.280457230092431	0.5927742193755005
18	0.9857716456060294	0.9293533406181704	2.268478360292528	0.5956014811849479
19	0.9721660937810368	0.9319583203246956	2.25552267053301	0.5984787830264211
20	0.9600781829532816	0.9337242428972838	2.260828643011226	0.5959017213771017
21	0.9499125449667861	0.9357243209491102	2.25409220465667	0.596652321857486
22	0.9406489395384412	0.9363877614736185	2.2382131872461546	0.5971527221777422
23	0.9267620887657347	0.93903176709335	2.238152105274727	0.5965272217774219
24	0.9217791549775365	0.9389927411801436	2.2326621436137404	0.5959517614091273
